name,logM200,Type,Dist,i,L36,Reff,SBeff,Rdisk,SBdisk,MHI,RHI,Vflat,e_Vflat,Qual,n_points_used,s_inner,active_shape_gate,delta_R1,alpha_v_best,ratio_v_best,Areq_v_best,at_lower_bound,at_upper_bound,chi2_ref,chi2_best,delta_chi2_best,red_chi2_ref_like,red_chi2_best_like
UGC06923,11.06,10,18.0,65.0,2.89,1.66,166.28,1.44,347.4,0.809,6.75,79.6,2.5,2,6,0.5087939698492463,0,-0.17127279798844194,0.0,1.0,0.0,0,0,4.762990811408219,4.762990811408219,0.0,0.9525981622816438,0.9525981622816438
UGC07524,11.07,9,4.74,46.0,2.436,3.61,29.71,3.46,106.86,1.779,12.11,79.5,3.6,1,31,0.5018867924528302,0,-0.17495766153810519,0.0,1.0,0.0,0,0,27.80810715870201,27.80810715870201,0.0,0.926936905290067,0.926936905290067
UGC07151,11.08,6,6.87,90.0,2.284,2.17,76.71,1.25,965.67,0.616,6.39,73.5,2.8,1,11,0.45034013605442175,0,-0.17864252508776837,0.0,1.0,0.0,0,0,22.132737258964198,22.132737258964198,0.0,2.21327372589642,2.21327372589642
UGC06399,11.09,9,18.0,75.0,2.296,3.45,30.82,2.05,311.05,0.674,8.8,85.0,3.8,1,9,0.4176470588235294,1,-0.18232738863743161,-0.2749999999999999,1.0501400318752936,0.2749999999999994,0,0,7.82684399579765,6.380456172585738,-1.4463878232119116,0.9783554994747062,0.7975570215732173
UGC05005,11.11,10,53.7,41.0,4.1,5.02,25.63,3.2,65.59,3.093,21.61,98.9,7.2,1,11,0.23811931243680484,1,-0.18969711573675813,-0.1499999999999999,1.0284545673605137,0.1499999999999997,0,0,10.33146887773841,10.155964453940154,-0.17550442379825526,1.033146887773841,1.0155964453940154
UGC06667,11.11,6,18.0,89.0,1.397,3.5,18.06,5.15,614.94,0.809,8.59,83.8,3.1,1,9,0.6801909307875895,0,-0.18969711573675813,0.0,1.0,0.0,0,0,21.255266742924636,21.255266742924636,0.0,2.6569083428655795,2.6569083428655795
F563-V2,11.12,10,59.7,29.0,2.986,4.49,23.6,2.43,146.16,2.169,11.37,116.6,9.4,1,10,0.5017152658662093,0,-0.1931560101229261,0.0,1.0,0.0,0,0,46.36368618345514,46.36368618345514,0.0,5.151520687050571,5.151520687050571
NGC0300,11.12,7,2.08,42.0,2.922,1.77,147.51,1.75,437.35,0.936,9.2,93.3,7.0,2,25,0.4276527331189711,1,-0.1931560101229261,-1.6875,1.3259507670824378,1.6874999999999998,0,0,290.1541789590238,15.76897697022174,-274.38520198880207,12.08975745662599,0.6570407070925725
NGC2976,11.12,5,3.58,61.0,3.371,1.31,308.2,1.01,1502.55,0.172,3.04,85.4,3.3,2,27,0.3360655737704918,1,-0.1931560101229261,-2.5625,1.494962275939998,2.5624999999999996,0,0,63.32580335567205,40.85119751522282,-22.47460584044923,2.435607821372002,1.571199904431647
UGC06628,11.12,9,15.1,20.0,3.739,4.14,34.74,2.82,103.0,1.5,10.47,41.8,6.4,2,7,0.7763157894736843,0,-0.1931560101229261,0.0,1.0,0.0,0,0,116.9328547815774,116.9328547815774,0.0,19.4888091302629,19.4888091302629
