name,A_true,A_pred_hybrid_loo,delta_pred_minus_true,abs_delta_pred_minus_true,sign_true,sign_pred,sign_match,branch_pred,interior_active,at_lower_bound,at_upper_bound,Type,logL36,L36,Dist,logMHI,MHI,RHI,Vflat,Qual,n_points_used,s_inner,delta_R1
DDO161,-1.1875000000000007,-1.295770208212598,-0.10827020821259725,0.10827020821259725,-1,-1,1,neg,1,0,0,10.0,-0.26121944151563076,0.548,7.5,0.13924921757160696,1.378,10.69,66.3,1.0,31.0,0.2805429864253394,-0.10230794026321141
UGC08286,0.012499999999998864,1.2495344620843927,1.2370344620843938,1.2370344620843938,1,1,1,pos,1,0,0,6.0,0.0986437258170569,1.255,6.5,-0.1924649719311467,0.642,8.07,82.4,1.0,17.0,0.39805825242718446,-0.10230794026321141
UGC06818,-0.5624999999999999,-0.5151846138344951,0.04731538616550479,0.04731538616550479,-1,-1,1,neg,1,0,0,9.0,0.20085049809107747,1.588,18.0,0.033021444682910656,1.079,6.96,71.2,2.0,8.0,0.3286516853932584,-0.10890991765359856
UGC04499,-0.40000000000000063,-0.6363984047561905,-0.23639840475618984,0.23639840475618984,-1,-1,1,neg,1,0,0,8.0,0.19089171692216964,1.552,12.5,0.04139268515822507,1.1,8.67,72.8,1.0,9.0,0.35714285714285715,-0.11586464575478443
F571-V1,0.2749999999999997,0.0,-0.2749999999999997,0.2749999999999997,1,1,1,pos,1,0,0,7.0,0.266936911159173,1.849,80.1,0.08529057823006501,1.217,10.1,83.6,2.0,7.0,0.3827751196172249,-0.14545303345589017
F583-1,1.0000000000000004,-1.2140315663075623,-2.214031566307563,2.214031566307563,1,-1,0,neg,1,0,0,9.0,-0.0061230850587887945,0.986,35.4,0.32756326018727794,2.126,15.65,85.8,1.0,25.0,0.2738927738927739,-0.15653328627846244
NGC3109,1.7749999999999992,-2.0714672228565822,-3.8464672228565817,3.8464672228565817,1,-1,0,neg,1,0,0,9.0,-0.712198270069774,0.194,1.33,-0.3214816209598861,0.477,6.0,66.2,1.0,25.0,0.25679758308157097,-0.17127279798844194
UGC06399,0.2749999999999994,-0.9826606320971816,-1.257660632097181,1.257660632097181,1,-1,0,neg,1,0,0,9.0,0.36097188372593586,2.296,18.0,-0.17134010346468015,0.674,8.8,85.0,1.0,9.0,0.4176470588235294,-0.18232738863743161
UGC05005,0.1499999999999997,2.481886116040487,2.3318861160404873,2.3318861160404873,1,1,1,pos,1,0,0,10.0,0.6127838567197355,4.1,53.7,0.490379920003179,3.093,21.61,98.9,1.0,11.0,0.23811931243680484,-0.18969711573675813
NGC0300,1.6874999999999998,0.7937333070727544,-0.8937666929272454,0.8937666929272454,1,1,1,pos,1,0,0,7.0,0.465680211598278,2.922,2.08,-0.028724151261894745,0.936,9.2,93.3,2.0,25.0,0.4276527331189711,-0.1931560101229261
NGC2976,2.5624999999999996,2.1376589032800664,-0.4248410967199332,0.4248410967199332,1,1,1,pos,1,0,0,5.0,0.5277587525209719,3.371,3.58,-0.7644715530924511,0.172,3.04,85.4,2.0,27.0,0.3360655737704918,-0.1931560101229261
UGC04278,1.5625,1.3598817435044759,-0.20261825649552412,0.20261825649552412,1,1,1,pos,1,0,0,7.0,0.11627558758054428,1.307,9.51,0.04766419460155998,1.116,8.9,91.4,1.0,25.0,0.3648796498905908,-0.20295553194381213
IC2574,3.375,-0.43215475276253645,-3.8071547527625365,3.8071547527625365,1,-1,0,neg,1,0,0,9.0,0.006893707947900456,1.016,3.91,0.01535975540921423,1.036,10.81,66.4,2.0,34.0,0.28012048192771083,-0.21590834701317407
NGC0100,0.16249999999999953,0.0,-0.16249999999999953,0.16249999999999953,1,1,1,pos,1,0,0,6.0,0.5094713521025486,3.232,13.5,0.29885307640970665,1.99,16.36,88.1,1.0,21.0,0.300794551645857,-0.21590834701317407
NGC5585,0.8875000000000003,1.433721939178291,0.5462219391782906,0.5462219391782906,1,1,1,pos,1,0,0,7.0,0.46879026209961094,2.943,7.06,0.22608411597582387,1.683,10.92,90.3,1.0,24.0,0.37320044296788485,-0.23256919743345358
