data_type,z,D_ratio,bin,ell,cl_ratio_val
growth,0.7804878048780488,1.1963501900898428,,,
growth,0.7823639774859287,1.1968404955371719,,,
growth,0.7842401500938087,1.197330321794051,,,
growth,0.7861163227016885,1.1978206653031744,,,
growth,0.7879924953095685,1.1983105999789199,,,
growth,0.7898686679174484,1.198800836944817,,,
growth,0.7917448405253283,1.1992910289118823,,,
growth,0.7936210131332082,1.19978116408218,,,
growth,0.7954971857410882,1.2002716128232558,,,
growth,0.797373358348968,1.2007616461775366,,,
growth,0.799249530956848,1.2012522115748838,,,
growth,0.801125703564728,1.20174226445756,,,
growth,0.8030018761726079,1.2022327146689744,,,
growth,0.8048780487804879,1.2027229918025433,,,
growth,0.8067542213883677,1.2032133194896826,,,
growth,0.8086303939962477,1.2037038173262422,,,
growth,0.8105065666041276,1.2041940253394035,,,
growth,0.8123827392120075,1.2046847433646117,,,
growth,0.8142589118198874,1.205174836621987,,,
growth,0.8161350844277674,1.2056654790451375,,,
growth,0.8180112570356473,1.2061557577036186,,,
growth,0.8198874296435272,1.2066462952721577,,,
growth,0.8217636022514071,1.2071367929128483,,,
growth,0.8236397748592871,1.2076272304849245,,,
growth,0.8255159474671669,1.2081179465406233,,,
growth,0.8273921200750469,1.2086082889512277,,,
growth,0.8292682926829268,1.209099197778922,,,
growth,0.8311444652908068,1.2095894689232434,,,
growth,0.8330206378986866,1.2100802822887433,,,
growth,0.8348968105065666,1.2105707504429621,,,
growth,0.8367729831144465,1.2110614549075456,,,
growth,0.8386491557223265,1.2115521087712378,,,
growth,0.8405253283302063,1.212042699434173,,,
growth,0.8424015009380863,1.2125335360149054,,,
growth,0.8442776735459663,1.2130240164506187,,,
growth,0.8461538461538461,1.2135150351746384,,,
growth,0.8480300187617261,1.214005410375745,,,
growth,0.849906191369606,1.2144963730106746,,,
growth,0.851782363977486,1.2149868855903063,,,
growth,0.8536585365853658,1.2154777529863372,,,
growth,0.8555347091932458,1.2159684464370086,,,
growth,0.8574108818011257,1.2164592235272462,,,
growth,0.8592870544090057,1.2169500972205687,,,
growth,0.8611632270168855,1.2174407889149998,,,
growth,0.8630393996247655,1.2179318422077785,,,
growth,0.8649155722326454,1.2184224469564435,,,
growth,0.8667917448405253,1.2189136600636754,,,
growth,0.8686679174484052,1.2194041760120589,,,
growth,0.8705440900562852,1.2198952900180506,,,
growth,0.8724202626641651,1.220385952460261,,,
growth,0.874296435272045,1.220876963918278,,,
growth,0.8761726078799249,1.2213677718237517,,,
growth,0.8780487804878049,1.2218586854675981,,,
growth,0.8799249530956847,1.2223496382045609,,,
growth,0.8818011257035647,1.2228404590890871,,,
growth,0.8836772983114447,1.2233315560109224,,,
growth,0.8855534709193246,1.2238222891673984,,,
growth,0.8874296435272045,1.224313529612526,,,
growth,0.8893058161350844,1.2248041800488487,,,
growth,0.8911819887429644,1.2252954674371188,,,
growth,0.8930581613508443,1.2257861360415068,,,
growth,0.8949343339587242,1.226277350153846,,,
growth,0.8968105065666041,1.2267681580256555,,,
growth,0.8986866791744841,1.2272592976554026,,,
growth,0.900562851782364,1.2277502334690185,,,
growth,0.9024390243902439,1.228241289240691,,,
growth,0.9043151969981238,1.2287323395707748,,,
growth,0.9061913696060038,1.2292233051544563,,,
growth,0.9080675422138836,1.229714464379933,,,
growth,0.9099437148217636,1.2302053422400567,,,
growth,0.9118198874296435,1.2306966096830274,,,
growth,0.9136960600375235,1.2311874049372344,,,
growth,0.9155722326454033,1.2316787799044757,,,
growth,0.9174484052532833,1.2321694976469195,,,
growth,0.9193245778611632,1.2326608857021932,,,
growth,0.9212007504690432,1.2331516247313457,,,
growth,0.9230769230769231,1.2336429453841107,,,
growth,0.924953095684803,1.2341337905141685,,,
growth,0.926829268292683,1.2346250488023358,,,
growth,0.9287054409005628,1.2351159992805867,,,
growth,0.9305816135084428,1.2356071975495189,,,
growth,0.9324577861163227,1.236098245487709,,,
growth,0.9343339587242027,1.2365893766633902,,,
growth,0.9362101313320825,1.2370805066665553,,,
growth,0.9380863039399625,1.23757156220795,,,
growth,0.9399624765478424,1.238062765608628,,,
growth,0.9418386491557224,1.2385537462362761,,,
growth,0.9437148217636022,1.239045021887655,,,
growth,0.9455909943714822,1.2395359325889481,,,
growth,0.9474671669793621,1.240027279750559,,,
growth,0.949343339587242,1.2405181256718998,,,
growth,0.9512195121951219,1.2410095435872455,,,
growth,0.9530956848030019,1.2415003298521534,,,
growth,0.9549718574108818,1.2419918177485831,,,
growth,0.9568480300187617,1.2424825494579703,,,
growth,0.9587242026266416,1.2429740009969363,,,
growth,0.9606003752345216,1.243464788779,,,
growth,0.9624765478424016,1.2439561951883162,,,
growth,0.9643527204502814,1.244447046383348,,,
