name,model,Ydisk,e_Ydisk,Ybul,e_Ybul,Dist,e_Dist,inc,e_inc,V200,e_V200,C200,e_C200,rs,e_rs,log_rhos,e_log_rhos,logM200,e_logM200,alpha,e_alpha,chi2_red,has_finite_halo,has_finite_chi2
UGC06786,NFW-LCDM,0.4,0.07,0.61,0.08,31.19,3.97,64.0,3.0,155.45,6.81,15.07,2.32,14.13,2.27,-1.74,0.22,12.08,0.06,0.0,0.0,0.87,1,1
UGC12506,NFW-LCDM,0.43,0.09,0.0,0.0,104.59,8.79,86.4,3.1,155.72,5.0,17.11,2.13,12.47,1.6,-1.6,0.17,12.08,0.04,0.0,0.0,0.26,1,1
UGC09037,NFW-LCDM,0.25,0.04,0.0,0.0,79.78,7.49,59.4,5.6,157.68,20.07,5.79,0.96,37.32,7.82,-2.74,0.32,12.1,0.17,0.0,0.0,2.13,1,1
NGC3992,NFW-LCDM,0.56,0.14,0.0,0.0,24.06,2.03,56.7,1.9,160.99,12.67,12.1,3.64,18.23,5.66,-1.97,0.42,12.12,0.1,0.0,0.0,1.58,1,1
NGC4157,NFW-LCDM,0.48,0.07,0.67,0.15,16.46,1.81,82.2,3.0,162.24,21.78,5.84,1.56,38.04,11.39,-2.74,0.43,12.13,0.17,0.0,0.0,0.57,1,1
UGC09133,NFW-LCDM,0.75,0.1,0.53,0.07,51.0,6.49,58.7,4.7,165.5,8.99,6.26,0.72,36.22,4.63,-2.67,0.18,12.16,0.07,0.0,0.0,7.17,1,1
NGC4217,NFW-LCDM,0.98,0.2,0.22,0.03,16.56,1.79,85.6,1.9,166.35,22.82,7.93,1.93,28.75,8.03,-2.42,0.41,12.17,0.18,0.0,0.0,3.27,1,1
NGC3953,NFW-LCDM,0.62,0.11,0.0,0.0,17.23,1.93,62.1,1.0,169.41,33.65,6.0,2.37,38.67,17.09,-2.71,0.64,12.19,0.26,0.0,0.0,2.96,1,1
NGC5985,NFW-LCDM,0.28,0.05,0.65,0.15,40.83,5.77,60.0,2.0,171.13,6.59,26.42,3.45,8.87,1.21,-1.11,0.19,12.2,0.05,0.0,0.0,2.38,1,1
UGC02953,NFW-LCDM,0.54,0.08,0.57,0.08,16.9,2.0,53.7,3.2,176.03,8.52,10.73,1.31,22.47,2.95,-2.1,0.18,12.24,0.06,0.0,0.0,5.64,1,1
UGC02487,NFW-LCDM,0.7,0.15,0.59,0.11,64.86,7.86,46.2,3.4,180.83,11.54,9.94,2.66,24.91,6.85,-2.19,0.37,12.27,0.08,0.0,0.0,5.26,1,1
UGC03205,NFW-LCDM,0.68,0.08,1.04,0.12,52.91,5.57,68.8,3.8,180.02,16.39,4.82,1.18,51.19,13.37,-2.93,0.37,12.27,0.12,0.0,0.0,3.54,1,1
NGC4013,NFW-LCDM,0.54,0.08,0.82,0.18,17.26,1.74,88.9,0.8,181.99,21.54,4.22,0.89,59.02,14.26,-3.06,0.36,12.28,0.15,0.0,0.0,0.95,1,1
NGC0801,NFW-LCDM,0.72,0.08,0.0,0.0,66.5,6.77,79.9,1.0,189.32,19.58,3.25,0.74,79.7,19.86,-3.3,0.36,12.33,0.13,0.0,0.0,7.15,1,1
NGC2955,NFW-LCDM,0.32,0.06,0.82,0.12,88.28,8.59,55.5,5.4,196.66,31.77,8.35,2.04,32.26,9.43,-2.37,0.44,12.38,0.21,0.0,0.0,4.27,1,1
ESO079-G014,NFW-LCDM,0.57,0.11,0.0,0.0,31.56,4.21,78.7,4.9,198.9,22.56,4.41,0.89,61.74,14.28,-3.01,0.34,12.4,0.15,0.0,0.0,4.9,1,1
NGC7331,NFW-LCDM,0.42,0.05,0.61,0.13,12.8,1.2,74.5,2.0,200.41,13.27,7.11,1.08,38.63,6.39,-2.54,0.24,12.41,0.09,0.0,0.0,0.81,1,1
NGC3521,NFW-LCDM,0.5,0.08,0.0,0.0,8.06,1.18,74.3,5.1,205.06,37.15,5.97,1.53,47.02,14.77,-2.71,0.48,12.44,0.24,0.0,0.0,0.29,1,1
NGC2841,NFW-LCDM,1.0,0.11,0.88,0.09,14.47,1.12,83.9,5.6,226.94,11.51,5.84,0.82,53.24,7.92,-2.74,0.21,12.57,0.07,0.0,0.0,1.47,1,1
UGC06614,NFW-LCDM,0.47,0.11,0.71,0.17,88.0,8.27,28.8,3.4,234.82,41.67,5.48,1.31,58.72,17.48,-2.8,0.46,12.62,0.23,0.0,0.0,0.28,1,1
UGC02885,NFW-LCDM,0.42,0.09,1.05,0.12,77.08,6.59,65.4,3.6,247.18,20.42,5.87,1.27,57.69,13.4,-2.73,0.33,12.68,0.11,0.0,0.0,1.0,1,1
NGC6195,NFW-LCDM,0.36,0.07,0.84,0.1,110.54,10.58,60.5,4.6,251.74,43.44,4.35,1.09,79.27,24.11,-3.03,0.46,12.71,0.22,0.0,0.0,2.06,1,1
NGC6674,NFW-LCDM,1.29,0.21,0.92,0.24,39.6,5.47,60.8,5.2,271.84,34.26,2.01,0.42,184.96,45.27,-3.73,0.37,12.81,0.16,0.0,0.0,3.42,1,1
NGC5005,NFW-LCDM,0.5,0.08,0.55,0.08,16.37,1.26,67.3,2.0,297.89,66.76,5.71,1.61,71.51,25.74,-2.76,0.56,12.93,0.29,0.0,0.0,0.09,1,1
UGC11455,NFW-LCDM,0.61,0.08,0.0,0.0,65.12,7.9,90.0,0.6,317.88,47.66,3.63,0.81,120.1,32.4,-3.2,0.41,13.01,0.2,0.0,0.0,5.47,1,1
UGC06787,NFW-LCDM,1.1,0.14,0.3,0.04,32.33,3.45,68.5,2.7,423.69,35.28,1.33,0.22,437.52,80.25,-4.08,0.28,13.38,0.11,0.0,0.0,18.57,1,1
ESO563-G021,NFW-LCDM,0.96,0.12,0.0,0.0,56.54,6.34,83.3,2.9,451.09,42.53,2.68,0.52,230.66,49.94,-3.48,0.32,13.47,0.12,0.0,0.0,19.23,1,1
UGC11914,NFW-LCDM,0.34,0.05,0.91,0.14,20.8,2.62,29.0,2.6,498.21,48.76,5.46,1.04,125.05,26.85,-2.8,0.31,13.6,0.13,0.0,0.0,0.87,1,1
