name,logM200,Vflat,Qual,Rdisk,log10Cobs,log10c_ref,delta_R1,n_inner_pts,inner_shape_proxy
UGC07399,11.13,103.0,1,1.64,1.0969100130080565,0.9489009647599361,-0.19647912440913123,2,0.5713592233009709
UGC04278,11.15,91.4,1,2.21,0.7419390777291989,0.9503607351980184,-0.20295553194381213,8,0.3648796498905908
F568-V1,11.16,112.3,1,2.85,1.048053173115609,0.9510597623394109,-0.2061937357111526,4,0.5138023152270703
IC2574,11.19,66.4,2,2.78,0.0,0.9529953246569018,-0.21590834701317407,7,0.28012048192771083
NGC0100,11.19,88.1,1,1.66,0.8518696007297664,0.9529953246569018,-0.21590834701317407,4,0.300794551645857
NGC4183,11.22,110.6,1,2.79,1.037027879755775,0.9547076517124086,-0.22546209261114408,3,0.5958408679927668
UGC06983,11.23,109.0,1,3.21,1.0464951643347082,0.955226815902467,-0.22773912379677475,2,0.6619266055045872
NGC6503,11.24,116.3,1,2.16,1.1335389083702174,0.9557211070828336,-0.22951433180492242,2,0.7609630266552021
NGC5585,11.26,90.3,1,1.53,0.7923916894982539,0.9566415995795354,-0.23256919743345358,9,0.37320044296788485
F574-1,11.27,97.8,1,4.46,0.9020028913507294,0.9570614271871372,-0.23409663024771912,5,0.6206543967280164
NGC0055,11.27,85.6,2,6.11,0.6580113966571124,0.9570614271871372,-0.23409663024771912,8,0.6320093457943926
UGC01230,11.28,103.7,1,4.34,0.9763499790032735,0.9574626000374701,-0.23562406306198463,3,0.5342333654773385
UGC06930,11.29,107.2,1,3.94,0.9576072870600952,0.9578331479946199,-0.2371514958762502,2,0.6534514925373134
NGC0024,11.3,106.3,1,1.34,0.9618954736678504,0.9581785120294568,-0.23867892869051607,11,0.5964252116650988
UGC06917,11.32,108.7,1,2.76,0.9439888750737718,0.9588014611477202,-0.2417337943190472,2,0.5998160073597056
F579-V1,11.33,112.1,1,3.37,1.1433271299920464,0.9590723616097923,-0.2419290076123928,4,0.7917038358608386
NGC0247,11.38,104.9,2,3.74,0.7723217067229198,0.9600683816679687,-0.22452640152746403,5,0.5633937082936129
NGC2403,11.39,131.2,1,1.39,1.2550311633455513,0.9601903549845109,-0.220450237806731,13,0.5464939024390244
NGC3769,11.42,118.6,2,3.38,0.9666109866819343,0.9604144987788943,-0.20822174664453183,1,0.7377740303541316
NGC4559,11.43,121.2,1,2.1,0.9434945159061026,0.9604433537654029,-0.2040637503302005,3,0.5297029702970297
NGC6015,11.47,154.1,2,2.3,1.2435341018320618,0.9602944979834611,-0.17892049950776423,6,0.6317326411421156
UGC00128,11.48,129.3,1,5.95,0.9068735347220704,0.9601930805817087,-0.17176990354758298,2,0.4350348027842227
ESO116-G012,11.5,109.1,1,1.51,0.8286598965353198,0.9599233995646572,-0.15746871162722054,3,0.36663611365719523
UGC03580,11.5,126.2,2,2.43,1.061829307294699,0.9599233995646572,-0.15746871162722054,21,0.5562599049128367
NGC4085,11.51,131.5,2,1.65,0.9547247909790629,0.9597475185901398,-0.15031811566703931,1,0.3209125475285171
NGC3972,11.57,132.7,1,2.18,0.9159272116971158,0.95818668882105,-0.11325376076953424,2,0.4242652599849285
NGC1003,11.58,109.8,1,1.61,0.6683859166900001,0.9578432259437341,-0.10888810280367169,1,0.42805100182149364
NGC4010,11.59,125.8,2,2.81,0.8475726591421122,0.9574706927363408,-0.1045224448378092,3,0.43402225755166934
NGC2903,11.64,184.6,1,2.33,1.3975924340381167,0.9552405279811781,-0.08269415500849589,7,0.8017334777898159
NGC3198,11.64,150.1,1,3.14,0.9982593384236987,0.9552405279811781,-0.08269415500849589,9,0.45836109260493
NGC3877,11.68,168.4,2,2.53,1.131297796597623,0.953008868550168,-0.06860904018841506,2,0.3500593824228028
UGC05986,11.69,113.0,2,1.67,0.7234556720351858,0.9523862061390614,-0.06571703103476119,2,0.3553097345132743
NGC3949,11.7,163.0,2,3.59,0.919601023784111,0.951744888970686,-0.0628250218811073,3,0.8895705521472392
NGC1090,11.71,164.4,1,3.53,0.9595183769729982,0.9510751232974755,-0.059933012727452877,3,0.3753041362530414
NGC5055,11.72,179.0,1,3.2,1.0863598306747482,0.9503779973136041,-0.057041003573798994,4,0.9497206703910615
NGC5371,11.75,209.5,1,7.44,1.448551739201578,0.9481465532261628,-0.048364976112837306,5,1.026252983293556
