name,Areq_true,absAreq_true,sign_true_pm1,sign_pred_pm1,sign_match,p_pred_pos_loo,p_pred_neg_loo,Areq_pred_two_stage,absAreq_pred_two_stage,err_two_stage,abs_err_two_stage,Areq_pred_oracle_sign,absAreq_pred_oracle_sign,err_oracle_sign,abs_err_oracle_sign,interior_active,at_lower_bound,at_upper_bound,Type,Dist,L36,logL36,MHI,logMHI,RHI,Vflat,Qual,n_points_used,s_inner,delta_R1,logM200
DDO161,-1.1875000000000007,1.1875000000000007,-1,1,0,0.8364360332295999,0.16356396677040008,0.9717638400584049,0.9717638400584049,2.1592638400584057,2.1592638400584057,-0.6960386987952655,0.6960386987952655,0.4914613012047352,0.4914613012047352,1,0,0,10.0,7.5,0.548,-0.26121944151563076,1.378,0.13924921757160696,10.69,66.3,1.0,31.0,0.2805429864253394,-0.10230794026321141,10.87
UGC08286,0.012499999999998864,0.012499999999998864,1,1,1,0.5498629241162106,0.4501370758837894,1.222464529246858,1.222464529246858,1.209964529246859,1.209964529246859,1.222464529246858,1.222464529246858,1.209964529246859,1.209964529246859,1,0,0,6.0,6.5,1.255,0.0986437258170569,0.642,-0.1924649719311467,8.07,82.4,1.0,17.0,0.39805825242718446,-0.10230794026321141,10.87
UGC06818,-0.5624999999999999,0.5624999999999999,-1,1,0,0.6561690208905323,0.3438309791094677,0.6724971318571308,0.6724971318571308,1.2349971318571307,1.2349971318571307,-0.7449616322815201,0.7449616322815201,-0.18246163228152024,0.18246163228152024,1,0,0,9.0,18.0,1.588,0.20085049809107747,1.079,0.033021444682910656,6.96,71.2,2.0,8.0,0.3286516853932584,-0.10890991765359856,10.89
UGC04499,-0.40000000000000063,0.40000000000000063,-1,1,0,0.6929292828096982,0.30707071719030177,0.790635303129609,0.790635303129609,1.1906353031296095,1.1906353031296095,-0.3954493026517756,0.3954493026517756,0.004550697348225052,0.004550697348225052,1,0,0,8.0,12.5,1.552,0.19089171692216964,1.1,0.04139268515822507,8.67,72.8,1.0,9.0,0.35714285714285715,-0.11586464575478443,10.91
F571-V1,0.2749999999999997,0.2749999999999997,1,1,1,0.7759685978348652,0.22403140216513484,0.0,0.0,-0.2749999999999997,0.2749999999999997,0.0,0.0,-0.2749999999999997,0.2749999999999997,1,0,0,7.0,80.1,1.849,0.266936911159173,1.217,0.08529057823006501,10.1,83.6,2.0,7.0,0.3827751196172249,-0.14545303345589017,10.99
F583-1,1.0000000000000004,1.0000000000000004,1,1,1,0.9671242558378086,0.03287574416219141,0.5153063561771929,0.5153063561771929,-0.48469364382280755,0.48469364382280755,0.5153063561771929,0.5153063561771929,-0.48469364382280755,0.48469364382280755,1,0,0,9.0,35.4,0.986,-0.0061230850587887945,2.126,0.32756326018727794,15.65,85.8,1.0,25.0,0.2738927738927739,-0.15653328627846244,11.02
NGC3109,1.7749999999999992,1.7749999999999992,1,1,1,0.9999884375751024,1.1562424897637591e-05,1.6610016854749565,1.6610016854749565,-0.11399831452504272,0.11399831452504272,1.6610016854749565,1.6610016854749565,-0.11399831452504272,0.11399831452504272,1,0,0,9.0,1.33,0.194,-0.712198270069774,0.477,-0.3214816209598861,6.0,66.2,1.0,25.0,0.25679758308157097,-0.17127279798844194,11.06
UGC06399,0.2749999999999994,0.2749999999999994,1,1,1,0.9995031743690037,0.0004968256309962893,1.508255864257362,1.508255864257362,1.2332558642573626,1.2332558642573626,1.508255864257362,1.508255864257362,1.2332558642573626,1.2332558642573626,1,0,0,9.0,18.0,2.296,0.36097188372593586,0.674,-0.17134010346468015,8.8,85.0,1.0,9.0,0.4176470588235294,-0.18232738863743161,11.09
UGC05005,0.1499999999999997,0.1499999999999997,1,1,1,0.9895420983320944,0.010457901667905611,0.2999117007153423,0.2999117007153423,0.1499117007153426,0.1499117007153426,0.2999117007153423,0.2999117007153423,0.1499117007153426,0.1499117007153426,1,0,0,10.0,53.7,4.1,0.6127838567197355,3.093,0.490379920003179,21.61,98.9,1.0,11.0,0.23811931243680484,-0.18969711573675813,11.11
NGC0300,1.6874999999999998,1.6874999999999998,1,1,1,0.9991699253591733,0.000830074640826739,1.0979617266264525,1.0979617266264525,-0.5895382733735473,0.5895382733735473,1.0979617266264525,1.0979617266264525,-0.5895382733735473,0.5895382733735473,1,0,0,7.0,2.08,2.922,0.465680211598278,0.936,-0.028724151261894745,9.2,93.3,2.0,25.0,0.4276527331189711,-0.1931560101229261,11.12
