logM200,log10c_ref,c_ref,inside_support_effective_R1,ratio_bpb_effective_R1,delta_bpb_effective_R1,inside_support_effective_R2pi,ratio_bpb_effective_R2pi,delta_bpb_effective_R2pi
10.289623430962342,0.7977148214318664,6.276460809739809,1,0.9953370526022448,-0.0046629473977551905,1,0.9999999999999999,-1.1102230246251565e-16
10.304602510460251,0.8019429898688992,6.3378650821133204,1,0.9947689529597524,-0.005231047040247572,1,0.9999999999999999,-1.1102230246251565e-16
10.319581589958158,0.8061155049467462,6.399050019671035,1,0.99420085331726,-0.005799146682739953,1,1.0,0.0
10.334560669456067,0.810232366665408,6.459997749016904,1,0.9936327536747676,-0.006367246325232445,1,1.0,0.0
10.349539748953974,0.8142935750248841,6.520690316991075,1,0.9930646540322752,-0.006935345967724826,1,1.0,0.0
10.364518828451882,0.8182991300251746,6.58110969915565,1,0.9923627451787096,-0.007637254821290407,1,1.0000000000000002,2.220446049250313e-16
10.37949790794979,0.8222490316662803,6.641237808406569,1,0.9912949391579294,-0.008705060842070567,1,1.0000000000000002,2.220446049250313e-16
10.394476987447698,0.8261432799481998,6.701056503706133,1,0.9902271331371495,-0.009772866862850504,1,1.0000000000000002,2.220446049250313e-16
10.409456066945607,0.8299818748709346,6.760547598930704,1,0.9891593271163694,-0.010840672883630553,1,1.0,0.0
10.424435146443514,0.8337648164344835,6.819692871827519,1,0.9880915210955894,-0.011908478904410602,1,1.0,0.0
10.439414225941423,0.837492104638847,6.878474073074992,1,0.9870237150748093,-0.012976284925190651,1,1.0,0.0
10.45439330543933,0.841163739484025,6.9368729354401895,1,0.9859559090540294,-0.014044090945970589,1,0.9999999999999999,-1.1102230246251565e-16
10.469372384937238,0.8447797209700176,6.994871183027388,1,0.9848470915769132,-0.015152908423086808,1,0.9999999999999999,-1.1102230246251565e-16
10.484351464435147,0.8483400490968251,7.05245054061131,1,0.983027239943631,-0.01697276005636905,1,0.9999999999999998,-2.220446049250313e-16
10.499330543933054,0.8518447238644467,7.109592743048539,1,0.9812073883103489,-0.018792611689651073,1,0.9999999999999998,-2.220446049250313e-16
10.514309623430963,0.8552937452728833,7.166279544760601,1,0.9793875366770666,-0.020612463322933428,1,0.9999999999999998,-2.220446049250313e-16
10.52928870292887,0.8586871133221341,7.222492729281782,1,0.9775676850437846,-0.02243231495621545,1,0.9999999999999998,-2.220446049250313e-16
10.544267782426777,0.8620248280121994,7.278214118865082,1,0.9757478334105025,-0.02425216658949747,1,0.9999999999999998,-2.220446049250313e-16
10.559246861924686,0.8653068893430798,7.333425584139166,1,0.9739279817772202,-0.026072018222779825,1,0.9999999999999998,-2.220446049250313e-16
10.574225941422593,0.868533297314774,7.388109053809295,1,0.9721081301439382,-0.027891869856061846,1,0.9999999999999998,-2.220446049250313e-16
10.589205020920502,0.8717040519272834,7.442246524395243,1,0.9694525064069441,-0.030547493593055863,1,0.9999999999999998,-2.220446049250313e-16
10.60418410041841,0.8748191531806071,7.49582006999868,1,0.9666392144933467,-0.033360785506653334,1,0.9999999999999997,-3.3306690738754696e-16
10.619163179916317,0.8778786010747452,7.548811852092999,1,0.9638259225797492,-0.036174077420250805,1,0.9999999999999996,-4.440892098500626e-16
10.634142259414226,0.880882395609698,7.601204129328004,1,0.9610126306661515,-0.0389873693338485,1,0.9999999999999994,-5.551115123125783e-16
10.649121338912133,0.8838305367854654,7.652979267342065,1,0.958199338752554,-0.04180066124744597,1,0.9999999999999993,-6.661338147750939e-16
10.664100418410042,0.8867230246020477,7.704119748574238,1,0.9553860468389563,-0.04461395316104366,1,0.9999999999999992,-7.771561172376096e-16
10.67907949790795,0.8895598590594438,7.75460818206873,1,0.9525727549253589,-0.04742724507464113,1,0.9999999999999991,-8.881784197001252e-16
10.694058577405857,0.8923410401576548,7.804427313264205,1,0.9490574872383803,-0.05094251276161965,1,0.999999999999999,-9.992007221626409e-16
10.709037656903766,0.8950665678966807,7.853560033760093,1,0.9451264854122674,-0.0548735145877326,1,0.999999999999999,-9.992007221626409e-16
10.724016736401673,0.8977364422765208,7.901989391052387,1,0.941195483586155,-0.05880451641384499,1,0.9999999999999992,-7.771561172376096e-16
10.738995815899582,0.9003506632971755,7.949698598231182,1,0.9372644817600421,-0.06273551823995793,1,0.9999999999999994,-5.551115123125783e-16
10.753974895397489,0.9029092309586447,7.996671043632167,1,0.9333334799339297,-0.06666652006607032,1,0.9999999999999997,-3.3306690738754696e-16
10.768953974895396,0.9054121452609285,8.042890300434424,1,0.9294024781078172,-0.07059752189218282,1,0.9999999999999999,-1.1102230246251565e-16
10.783933054393305,0.9078594062040273,8.088340136196772,1,0.9254714762817042,-0.07452852371829577,1,1.0,0.0
10.798912133891212,0.91025101378794,8.13300452232492,1,0.9211230956513625,-0.07887690434863748,1,1.0000000000000002,2.220446049250313e-16
10.813891213389121,0.9125869680126677,8.176867643461838,1,0.9161858909089152,-0.08381410909108478,1,1.0000000000000002,2.220446049250313e-16
10.828870292887029,0.9148672688782097,8.219913906793469,1,0.9112486861664685,-0.08875131383353152,1,0.9999999999999998,-2.220446049250313e-16
10.843849372384938,0.9170919163845666,8.26212795126238,1,0.9063114814240211,-0.09368851857597893,1,0.9999999999999992,-7.771561172376096e-16
10.858828451882845,0.9192609105317375,8.303494656681544,1,0.9013742766815743,-0.09862572331842567,1,0.9999999999999988,-1.2212453270876722e-15
10.873807531380752,0.9213742513197233,8.343999152740878,1,0.8964370719391276,-0.10356292806087242,1,0.9999999999999982,-1.7763568394002505e-15
10.888786610878661,0.9234319387485238,8.383626827898889,1,0.8914998671966803,-0.10850013280331972,1,0.9999999999999977,-2.3314683517128287e-15
10.903765690376568,0.9254339728181387,8.422363338152097,1,0.886441143872551,-0.11355885612744898,1,0.9999999999999972,-2.7755575615628914e-15
10.918744769874477,0.9273803535285681,8.460194615674888,1,0.8809010587276783,-0.11909894127232168,1,0.9999999999999961,-3.885780586188048e-15
10.933723849372385,0.929271080879812,8.497106877322448,1,0.8753609735828063,-0.12463902641719371,1,0.9999999999999801,-1.9872992140790302e-14
10.948702928870292,0.9311061548718707,8.533086632989656,1,0.8698208884379343,-0.13017911156206574,1,0.9999999999999641,-3.5860203695392556e-14
10.9636820083682,0.9328855755047439,8.568120693818827,1,0.8642808032930616,-0.13571919670693844,1,0.9999999999999482,-5.184741524999481e-14
10.978661087866108,0.9346093427784313,8.602196180249319,1,0.8587407181481895,-0.14125928185181047,1,0.999999999999932,-6.794564910705958e-14
10.993640167364017,0.9362774566929338,8.635300529902182,1,0.8532006330033168,-0.14679936699668317,1,0.9999999999999161,-8.393286066166183e-14
11.008619246861924,0.9378899172482507,8.667421505292955,1,0.8476605478584448,-0.1523394521415552,1,0.9999999999999001,-9.992007221626409e-14
11.023598326359831,0.9394467244443819,8.6985472013662,1,0.8421407220458981,-0.15785927795410193,1,0.9999999999998841,-1.1590728377086634e-13
11.03857740585774,0.9409478782813279,8.728666052845108,1,0.8366211356409626,-0.16337886435903737,1,0.9999999999997068,-2.9320990080350384e-13
